epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
94,0.8399282,0.09806836,0.8389247,0.1051569,0.20357896,0.14547145,950.0,-0.8322283,1.0,4750.0,0.52
95,0.83996916,0.09792461,0.83897424,0.104997836,0.20344953,0.14563666,960.0,-1.0879844,1.0,4800.0,0.68
96,0.8399549,0.098017074,0.83900887,0.10512406,0.20348012,0.1455587,970.0,-1.4802151,0.9,4850.0,0.54
97,0.8399999,0.09803132,0.83904415,0.105111785,0.20347261,0.1456257,980.0,-0.87514627,1.0,4900.0,0.46
98,0.8400139,0.09806526,0.8390506,0.10518388,0.20349671,0.14560248,990.0,-1.5483415,1.0,4950.0,0.42
99,0.8401105,0.098006524,0.83914775,0.105144285,0.20359012,0.14564034,1000.0,-0.83923566,1.0,5000.0,0.56
100,0.8401062,0.098059535,0.8391376,0.1051965,0.20360667,0.14573042,1010.0,-1.134498,1.0,5050.0,0.46
101,0.840184,0.097979665,0.83922464,0.10512853,0.20366476,0.14569315,1020.0,-0.9142343,1.0,5100.0,0.44
102,0.84021264,0.097880244,0.83925337,0.10497371,0.20370835,0.1455502,1030.0,-1.2206137,1.0,5150.0,0.64
103,0.8402725,0.09776626,0.83937794,0.104871936,0.20375203,0.1452586,1040.0,-0.83386326,1.0,5200.0,0.52
104,0.84028167,0.097707056,0.83938456,0.10478145,0.20375189,0.14517204,1050.0,-0.9489581,1.0,5250.0,0.58
105,0.84029454,0.097591124,0.8394092,0.10464687,0.20377232,0.1451541,1060.0,-3.184319,0.9,5300.0,0.58
106,0.84031105,0.09753996,0.8394173,0.10459732,0.2037445,0.14515935,1070.0,-1.102871,1.0,5350.0,0.5
107,0.84036404,0.09739677,0.83945733,0.10443536,0.20370811,0.14508443,1080.0,-0.9756279,1.0,5400.0,0.56
108,0.8403112,0.09748015,0.8393969,0.10450039,0.20372482,0.14521514,1090.0,-1.5808464,0.9,5450.0,0.38
109,0.8402422,0.09740644,0.83930606,0.10442988,0.20373589,0.14521185,1100.0,-1.0706466,1.0,5500.0,0.46
110,0.84022975,0.09728683,0.8393019,0.10429791,0.2037006,0.14502059,1110.0,-0.98358506,1.0,5550.0,0.54
111,0.8402498,0.09711071,0.83928376,0.10408732,0.20365761,0.14497405,1120.0,-1.1352323,1.0,5600.0,0.58
112,0.8403077,0.09705609,0.83937645,0.1040801,0.20365797,0.14494748,1130.0,-1.2636131,1.0,5650.0,0.52
113,0.84023833,0.09692631,0.839318,0.10389203,0.20363523,0.14507136,1140.0,-1.4133755,1.0,5700.0,0.6
114,0.8402467,0.09691417,0.83932567,0.10388877,0.20367664,0.14512122,1150.0,-0.83947515,1.0,5750.0,0.46
115,0.8402621,0.09694605,0.8393254,0.103936315,0.2036786,0.14511263,1160.0,-1.2238721,1.0,5800.0,0.58
116,0.84031016,0.09692814,0.8394046,0.103913635,0.20374386,0.14516187,1170.0,-1.3555421,1.0,5850.0,0.5
117,0.840275,0.09704127,0.8394094,0.10405105,0.20381853,0.14507915,1180.0,-1.2289172,1.0,5900.0,0.48
118,0.84021425,0.09699289,0.8393734,0.10393075,0.20377296,0.1450656,1190.0,-1.3815616,1.0,5950.0,0.58
119,0.84026146,0.09689628,0.8394217,0.10378513,0.20377073,0.14522494,1200.0,-1.3153038,1.0,6000.0,0.62
120,0.8402226,0.09684231,0.8393467,0.10371884,0.20371118,0.14518566,1210.0,-1.1566136,1.0,6050.0,0.6
121,0.8402572,0.09676192,0.83939576,0.10363811,0.20371687,0.14495833,1220.0,-1.0629642,1.0,6100.0,0.58
122,0.840254,0.0967437,0.8393764,0.10359126,0.20374183,0.1450717,1230.0,-0.83138543,1.0,6150.0,0.58
123,0.8403041,0.09675463,0.839453,0.10360441,0.20378602,0.14513087,1240.0,-0.92719495,1.0,6200.0,0.48
124,0.84032923,0.09662203,0.8394657,0.103507996,0.20376867,0.14518334,1250.0,-1.0931133,1.0,6250.0,0.44
125,0.8403032,0.09661392,0.83944726,0.10350484,0.20373401,0.14518648,1260.0,-1.2107428,1.0,6300.0,0.62
126,0.84036547,0.0965436,0.83955115,0.10343144,0.20368384,0.14514057,1270.0,-1.3461382,1.0,6350.0,0.5
127,0.84035367,0.09644532,0.8395381,0.103340514,0.2036502,0.14509928,1280.0,-1.023874,1.0,6400.0,0.54
128,0.84033823,0.096344285,0.8395125,0.103212416,0.20365195,0.14496808,1290.0,-1.1441476,1.0,6450.0,0.52
129,0.840396,0.096297644,0.83956355,0.10318846,0.20366153,0.14498554,1300.0,-1.1216844,1.0,6500.0,0.58
130,0.84038335,0.09628814,0.8395545,0.10315275,0.20368403,0.14500985,1310.0,-0.9553338,1.0,6550.0,0.5
131,0.84033996,0.096242286,0.839526,0.10310068,0.20364127,0.14516328,1320.0,-0.90980947,1.0,6600.0,0.58
132,0.84027094,0.096128084,0.8394732,0.102966726,0.20364147,0.14505751,1330.0,-1.2210314,1.0,6650.0,0.56
133,0.8402559,0.09617516,0.8394871,0.10303684,0.20362848,0.14510044,1340.0,-1.1426618,1.0,6700.0,0.32
134,0.84023577,0.09638339,0.8394458,0.10325692,0.2036357,0.14516215,1350.0,-1.2311124,1.0,6750.0,0.5
135,0.84015983,0.09646991,0.8393608,0.103329144,0.203695,0.14523374,1360.0,-0.87815505,1.0,6800.0,0.6
136,0.8402279,0.09654478,0.8394889,0.10341414,0.20374358,0.14529122,1370.0,-1.2420417,1.0,6850.0,0.52
137,0.8402028,0.09652245,0.8394483,0.10336811,0.20369276,0.14524922,1380.0,-0.9622591,1.0,6900.0,0.52
138,0.84019226,0.09642991,0.8394294,0.10328218,0.20367438,0.14518721,1390.0,-2.5503485,0.9,6950.0,0.54
139,0.84026045,0.09636273,0.83948755,0.10320274,0.20372471,0.14523517,1400.0,-0.9382227,1.0,7000.0,0.62
140,0.84023327,0.09636726,0.8394346,0.10317633,0.20373124,0.14528412,1410.0,-0.8814691,1.0,7050.0,0.6
