epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
82,0.8333955,0.13828865,0.83734006,0.15956639,0.20381321,0.14196172,830.0,-0.9623078,0.9,4150.0,0.54
83,0.8336174,0.13808091,0.83766586,0.15932752,0.20377116,0.14180343,840.0,-1.0547134,1.0,4200.0,0.48
84,0.83373904,0.13785651,0.8378713,0.1590998,0.20380527,0.1417463,850.0,-1.861736,0.7,4250.0,0.5
85,0.8340289,0.13764873,0.83816785,0.1588558,0.20385782,0.14144896,860.0,-1.205322,1.0,4300.0,0.42
86,0.8341306,0.137286,0.8383043,0.15842037,0.20383953,0.14118174,870.0,-1.8127667,0.7,4350.0,0.62
87,0.83438945,0.13709132,0.83854324,0.1581441,0.20391507,0.14106086,880.0,-1.1187065,0.9,4400.0,0.6
88,0.83456916,0.136741,0.83877635,0.15774101,0.20401295,0.1409051,890.0,-1.2388114,0.9,4450.0,0.54
89,0.8348183,0.13646144,0.8391669,0.15740494,0.20410646,0.14069529,900.0,-0.6207024,1.0,4500.0,0.62
90,0.83502626,0.13615665,0.839421,0.15704463,0.2041776,0.14051181,910.0,-0.8078669,1.0,4550.0,0.52
91,0.83522207,0.13574319,0.83965015,0.15653443,0.20426768,0.1402495,920.0,-0.99095535,0.9,4600.0,0.58
92,0.83537155,0.1355157,0.8398228,0.15621494,0.2042827,0.14007643,930.0,-3.3962312,0.7,4650.0,0.48
93,0.8354823,0.13535748,0.83995557,0.15597303,0.20427935,0.13977529,940.0,-1.6668117,0.8,4700.0,0.54
94,0.8354781,0.13528396,0.8399804,0.15581909,0.2042566,0.13963524,950.0,-1.6419041,0.9,4750.0,0.54
95,0.83574945,0.13504593,0.8402284,0.15550788,0.20422201,0.13948941,960.0,-1.171459,0.9,4800.0,0.54
96,0.83598113,0.13497044,0.8404686,0.155369,0.20429616,0.13940014,970.0,-1.260587,1.0,4850.0,0.58
97,0.8360343,0.13471122,0.84054637,0.15504616,0.20429906,0.13921991,980.0,-0.86807,1.0,4900.0,0.6
98,0.836216,0.13489741,0.84074634,0.15507518,0.20432112,0.13921471,990.0,-0.90721,1.0,4950.0,0.46
99,0.8363912,0.13477327,0.84093684,0.15490715,0.20434153,0.13915949,1000.0,-1.4736305,0.9,5000.0,0.48
100,0.8365326,0.13454066,0.84108424,0.15458353,0.20441858,0.13888103,1010.0,-1.191134,0.9,5050.0,0.52
101,0.8366911,0.1342989,0.8412921,0.1542546,0.20440978,0.13883659,1020.0,-0.6570659,1.0,5100.0,0.48
102,0.8367892,0.13422433,0.84144926,0.15413831,0.20438345,0.13884301,1030.0,-0.9218804,1.0,5150.0,0.4
103,0.8369747,0.13410409,0.8416615,0.15398742,0.20441094,0.13874798,1040.0,-1.2017115,0.9,5200.0,0.58
