epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
185,0.8452187,0.10903424,0.20365933,0.1146617,1860.0,-19.020107,0.3,9300.0,0.28
186,0.84517056,0.109013826,0.20365775,0.11476053,1870.0,-23.29273,0.3,9350.0,0.24
187,0.84515613,0.10896779,0.20363788,0.11486687,1880.0,-23.675707,0.3,9400.0,0.3
188,0.8451123,0.108990334,0.20355694,0.11495122,1890.0,-7.343437,0.7,9450.0,0.28
189,0.8451114,0.10899416,0.20349523,0.11513716,1900.0,-11.644399,0.6,9500.0,0.28
190,0.84515196,0.1089353,0.20351183,0.11531111,1910.0,-7.8265753,0.5,9550.0,0.32
191,0.8451901,0.10888814,0.20352659,0.11533026,1920.0,-14.728697,0.4,9600.0,0.4
192,0.8451741,0.10891697,0.20352344,0.11542498,1930.0,-23.536648,0.3,9650.0,0.32
193,0.8451598,0.10892532,0.2035291,0.11553927,1940.0,-15.292213,0.5,9700.0,0.42
194,0.8451033,0.10891143,0.20351622,0.11557939,1950.0,-18.246532,0.3,9750.0,0.36
195,0.84504455,0.10899373,0.20349583,0.11565078,1960.0,-14.267418,0.5,9800.0,0.26
196,0.8450003,0.10891201,0.20350951,0.11572559,1970.0,-12.034333,0.5,9850.0,0.4
197,0.8449449,0.10885006,0.20346199,0.11584695,1980.0,-9.812076,0.5,9900.0,0.42
198,0.84492666,0.108873315,0.20342523,0.1158977,1990.0,-11.795123,0.4,9950.0,0.3
199,0.8449525,0.108878024,0.20344114,0.1161351,2000.0,-10.808797,0.4,10000.0,0.34
200,0.8449436,0.10888641,0.20338221,0.11631972,2010.0,-10.329901,0.3,10050.0,0.28
201,0.8449771,0.10895426,0.20333755,0.11647229,2020.0,-16.33201,0.3,10100.0,0.24
202,0.8449733,0.109023266,0.20332648,0.11661335,2030.0,-6.821912,0.6,10150.0,0.28
203,0.84501487,0.10902179,0.20335199,0.11672789,2040.0,-19.712065,0.2,10200.0,0.26
204,0.84496623,0.10893637,0.20331092,0.116868705,2050.0,-11.221627,0.5,10250.0,0.5
205,0.84494066,0.10896382,0.20328987,0.11701193,2060.0,-9.295668,0.4,10300.0,0.3
206,0.84492284,0.10893052,0.20328492,0.11708287,2070.0,-14.768147,0.3,10350.0,0.32
207,0.84489155,0.108900405,0.20326343,0.1172451,2080.0,-9.174807,0.4,10400.0,0.48
208,0.8448952,0.10892979,0.20323986,0.117473625,2090.0,-11.035309,0.5,10450.0,0.32
209,0.8448928,0.10890121,0.20321934,0.117539376,2100.0,-6.8231864,0.7,10500.0,0.34
210,0.8448849,0.108985096,0.20320107,0.11763808,2110.0,-12.803198,0.4,10550.0,0.36
211,0.84488183,0.108956344,0.20320648,0.11771982,2120.0,-13.189405,0.5,10600.0,0.38
212,0.8448954,0.10897025,0.2031981,0.11774227,2130.0,-11.399564,0.4,10650.0,0.3
213,0.8449432,0.10895538,0.20319217,0.11786072,2140.0,-15.726675,0.3,10700.0,0.22
214,0.84491414,0.10900321,0.20319566,0.11800455,2150.0,-14.428556,0.5,10750.0,0.3
215,0.84494704,0.10896777,0.20316166,0.11812196,2160.0,-11.211675,0.5,10800.0,0.42
216,0.84493464,0.10894066,0.20313749,0.11821822,2170.0,-8.374439,0.5,10850.0,0.34
217,0.84484905,0.108989686,0.20312597,0.11833177,2180.0,-8.090189,0.5,10900.0,0.28
218,0.84485245,0.1090219,0.20309548,0.118365325,2190.0,-5.825392,0.6,10950.0,0.24
219,0.84490067,0.10900017,0.20307522,0.11842056,2200.0,-15.483301,0.3,11000.0,0.26
220,0.8448859,0.10905411,0.20305431,0.11847938,2210.0,-11.844465,0.4,11050.0,0.4
221,0.8449128,0.108973615,0.20307155,0.11845331,2220.0,-12.891754,0.3,11100.0,0.38
222,0.844903,0.10892715,0.20304665,0.11846805,2230.0,-16.728857,0.3,11150.0,0.26
223,0.84488076,0.10887325,0.20301753,0.11858025,2240.0,-12.056793,0.5,11200.0,0.44
224,0.8449404,0.108809836,0.20302536,0.1185782,2250.0,-15.400244,0.5,11250.0,0.3
225,0.8449746,0.10875986,0.20304175,0.11861892,2260.0,-12.103685,0.4,11300.0,0.32
226,0.84500664,0.1087602,0.20304698,0.11869056,2270.0,-8.599926,0.7,11350.0,0.4
227,0.8450241,0.10868844,0.2030314,0.11872649,2280.0,-10.532028,0.5,11400.0,0.46
228,0.8449854,0.10869304,0.20304127,0.118768886,2290.0,-15.012421,0.3,11450.0,0.34
229,0.8449402,0.108680576,0.20301391,0.11886265,2300.0,-13.902705,0.4,11500.0,0.44
230,0.8449485,0.10860326,0.20301433,0.11885804,2310.0,-16.20397,0.4,11550.0,0.34
231,0.84499097,0.10858817,0.20302433,0.11891015,2320.0,-6.3065543,0.8,11600.0,0.28
232,0.8450417,0.10855577,0.20300853,0.11892119,2330.0,-17.486967,0.3,11650.0,0.42
233,0.8450217,0.10850326,0.20299953,0.11894738,2340.0,-24.737032,0.1,11700.0,0.34
234,0.8449745,0.10847256,0.20298496,0.11896,2350.0,-14.141136,0.5,11750.0,0.52
235,0.84497166,0.10860304,0.20296098,0.118974425,2360.0,-6.4362516,0.8,11800.0,0.38
236,0.8449151,0.10862198,0.20294857,0.1190681,2370.0,-17.396036,0.3,11850.0,0.32
237,0.844901,0.10857743,0.20293583,0.11917919,2380.0,-11.411699,0.5,11900.0,0.3
238,0.84491974,0.10853144,0.20294201,0.11924168,2390.0,-17.968166,0.4,11950.0,0.38
239,0.8448911,0.10857988,0.2029667,0.11927522,2400.0,-17.125683,0.3,12000.0,0.44
240,0.84487087,0.10849107,0.20294021,0.11934537,2410.0,-5.005029,0.8,12050.0,0.38
241,0.8448641,0.10845071,0.20293346,0.119377725,2420.0,-19.683758,0.3,12100.0,0.36
242,0.84487826,0.10845449,0.2029408,0.11940178,2430.0,-13.299421,0.6,12150.0,0.4
243,0.84489137,0.108409666,0.20293175,0.119439155,2440.0,-19.685566,0.4,12200.0,0.44
244,0.84488505,0.10842735,0.20292336,0.11963003,2450.0,-9.221788,0.6,12250.0,0.38
245,0.8449297,0.10842673,0.20291762,0.119662195,2460.0,-7.942567,0.7,12300.0,0.32
246,0.8449281,0.108400404,0.2029094,0.11962411,2470.0,-22.679104,0.3,12350.0,0.38
247,0.84494114,0.10851103,0.20292214,0.11965706,2480.0,-10.0499325,0.7,12400.0,0.46
248,0.8449622,0.1084437,0.20291327,0.11962629,2490.0,-13.049116,0.7,12450.0,0.46
249,0.8449529,0.108457245,0.20291996,0.11962635,2500.0,-18.299978,0.5,12500.0,0.32
250,0.84497523,0.108380236,0.20291811,0.11957096,2510.0,-10.867922,0.6,12550.0,0.46
251,0.84498245,0.10840115,0.20290512,0.1195989,2520.0,-10.560707,0.6,12600.0,0.46
252,0.8449831,0.108358435,0.20285966,0.11957939,2530.0,-25.381584,0.2,12650.0,0.5
253,0.8449772,0.10835701,0.2028718,0.119602375,2540.0,-17.278164,0.4,12700.0,0.28
254,0.8449953,0.10834449,0.20286633,0.119603574,2550.0,-9.304308,0.6,12750.0,0.52
255,0.84500974,0.10829652,0.202862,0.119614094,2560.0,-12.822553,0.5,12800.0,0.44
256,0.84499055,0.10827398,0.20288104,0.11958619,2570.0,-10.315852,0.7,12850.0,0.54
257,0.84499604,0.10823477,0.20286119,0.11957976,2580.0,-8.533767,0.7,12900.0,0.54
258,0.84497803,0.1082005,0.20284285,0.11954394,2590.0,-20.755798,0.4,12950.0,0.52
259,0.84498,0.10814157,0.20282455,0.11955366,2600.0,-11.571932,0.6,13000.0,0.52
260,0.8449857,0.108139664,0.2028115,0.1196283,2610.0,-12.158078,0.6,13050.0,0.42
261,0.8449692,0.10811224,0.20278013,0.11963654,2620.0,-10.7005825,0.5,13100.0,0.32
262,0.84497076,0.108071625,0.20276672,0.119605005,2630.0,-11.356993,0.4,13150.0,0.48
263,0.84496117,0.1080383,0.20275524,0.11961698,2640.0,-18.300465,0.4,13200.0,0.42
264,0.84496015,0.10798719,0.2027496,0.1195437,2650.0,-6.540306,0.8,13250.0,0.36
265,0.8449537,0.107963376,0.2027816,0.11953368,2660.0,-23.546303,0.3,13300.0,0.42
266,0.8449709,0.107973635,0.20277968,0.11954685,2670.0,-7.3247705,0.6,13350.0,0.38
267,0.8449519,0.107913576,0.20276827,0.11955112,2680.0,-18.320393,0.4,13400.0,0.48
268,0.8449421,0.10785988,0.20277105,0.11955005,2690.0,-15.656741,0.4,13450.0,0.46
269,0.84492344,0.10784029,0.20276304,0.11958506,2700.0,-8.493376,0.7,13500.0,0.46
270,0.8449053,0.10789293,0.20276587,0.11957936,2710.0,-14.067024,0.5,13550.0,0.16
271,0.84491444,0.10783597,0.20276487,0.11960601,2720.0,-12.537317,0.6,13600.0,0.62
272,0.84493166,0.107827686,0.20274757,0.11961178,2730.0,-16.146809,0.6,13650.0,0.42
273,0.84493566,0.10778162,0.20275311,0.119568214,2740.0,-11.3489895,0.6,13700.0,0.44
274,0.84493256,0.10776475,0.20275837,0.119552135,2750.0,-19.186102,0.4,13750.0,0.5
275,0.8449438,0.1077855,0.20280649,0.11963497,2760.0,-8.424946,0.7,13800.0,0.44
276,0.84497404,0.107745074,0.20280877,0.119626895,2770.0,-17.486874,0.4,13850.0,0.46
277,0.84496814,0.107728146,0.20285448,0.119691,2780.0,-10.944312,0.6,13900.0,0.46
